firefox-locale-bs,62.0+build2-0ubuntu0.14.04.5,amd64,425222
firefox-locale-ca,62.0+build2-0ubuntu0.14.04.5,amd64,428626
firefox-locale-cak,62.0+build2-0ubuntu0.14.04.5,amd64,446674
firefox-locale-cs,62.0+build2-0ubuntu0.14.04.5,amd64,436684
firefox-locale-csb,62.0+build2-0ubuntu0.14.04.5,amd64,17068
firefox-locale-cy,62.0+build2-0ubuntu0.14.04.5,amd64,427224
firefox-locale-da,62.0+build2-0ubuntu0.14.04.5,amd64,426104
firefox-locale-de,62.0+build2-0ubuntu0.14.04.5,amd64,435010
firefox-locale-el,62.0+build2-0ubuntu0.14.04.5,amd64,505838
firefox-locale-en,62.0+build2-0ubuntu0.14.04.5,amd64,941926
firefox-locale-eo,62.0+build2-0ubuntu0.14.04.5,amd64,424804
firefox-locale-es,62.0+build2-0ubuntu0.14.04.5,amd64,1551868
firefox-locale-et,62.0+build2-0ubuntu0.14.04.5,amd64,414226
firefox-locale-eu,62.0+build2-0ubuntu0.14.04.5,amd64,424102
firefox-locale-fa,62.0+build2-0ubuntu0.14.04.5,amd64,474166
firefox-locale-fi,62.0+build2-0ubuntu0.14.04.5,amd64,416684
firefox-locale-fr,62.0+build2-0ubuntu0.14.04.5,amd64,441452
firefox-locale-fy,62.0+build2-0ubuntu0.14.04.5,amd64,425828
firefox-locale-ga,62.0+build2-0ubuntu0.14.04.5,amd64,428988
firefox-locale-gd,62.0+build2-0ubuntu0.14.04.5,amd64,433052
firefox-locale-gl,62.0+build2-0ubuntu0.14.04.5,amd64,411282
firefox-locale-gn,62.0+build2-0ubuntu0.14.04.5,amd64,441624
firefox-locale-gu,62.0+build2-0ubuntu0.14.04.5,amd64,495178
firefox-locale-he,62.0+build2-0ubuntu0.14.04.5,amd64,443728
firefox-locale-hi,62.0+build2-0ubuntu0.14.04.5,amd64,492626
firefox-locale-hr,62.0+build2-0ubuntu0.14.04.5,amd64,418912
firefox-locale-hu,62.0+build2-0ubuntu0.14.04.5,amd64,445660
firefox-locale-hy,62.0+build2-0ubuntu0.14.04.5,amd64,475196
firefox-locale-ia,62.0+build2-0ubuntu0.14.04.5,amd64,419778
firefox-locale-id,62.0+build2-0ubuntu0.14.04.5,amd64,416280
firefox-locale-is,62.0+build2-0ubuntu0.14.04.5,amd64,418984
firefox-locale-it,62.0+build2-0ubuntu0.14.04.5,amd64,304194
firefox-locale-ja,62.0+build2-0ubuntu0.14.04.5,amd64,463388
firefox-locale-ka,62.0+build2-0ubuntu0.14.04.5,amd64,460598
firefox-locale-kab,62.0+build2-0ubuntu0.14.04.5,amd64,435562
firefox-locale-kk,62.0+build2-0ubuntu0.14.04.5,amd64,489922
firefox-locale-km,62.0+build2-0ubuntu0.14.04.5,amd64,480014
firefox-locale-kn,62.0+build2-0ubuntu0.14.04.5,amd64,487020
firefox-locale-ko,62.0+build2-0ubuntu0.14.04.5,amd64,457130
firefox-locale-ku,62.0+build2-0ubuntu0.14.04.5,amd64,17076
firefox-locale-lg,62.0+build2-0ubuntu0.14.04.5,amd64,17080
firefox-locale-lt,62.0+build2-0ubuntu0.14.04.5,amd64,446320
firefox-locale-lv,62.0+build2-0ubuntu0.14.04.5,amd64,434066
firefox-locale-mai,62.0+build2-0ubuntu0.14.04.5,amd64,453296
firefox-locale-mk,62.0+build2-0ubuntu0.14.04.5,amd64,416712
firefox-locale-ml,62.0+build2-0ubuntu0.14.04.5,amd64,497580
firefox-locale-mn,62.0+build2-0ubuntu0.14.04.5,amd64,17072
firefox-locale-mr,62.0+build2-0ubuntu0.14.04.5,amd64,488718
firefox-locale-ms,62.0+build2-0ubuntu0.14.04.5,amd64,418028
firefox-locale-my,62.0+build2-0ubuntu0.14.04.5,amd64,466474
firefox-locale-nb,62.0+build2-0ubuntu0.14.04.5,amd64,414298
firefox-locale-ne,62.0+build2-0ubuntu0.14.04.5,amd64,456810
firefox-locale-nl,62.0+build2-0ubuntu0.14.04.5,amd64,417492
firefox-locale-nn,62.0+build2-0ubuntu0.14.04.5,amd64,412588
firefox-locale-nso,62.0+build2-0ubuntu0.14.04.5,amd64,17064
firefox-locale-oc,62.0+build2-0ubuntu0.14.04.5,amd64,433846
firefox-locale-or,62.0+build2-0ubuntu0.14.04.5,amd64,445790
firefox-locale-pa,62.0+build2-0ubuntu0.14.04.5,amd64,453214
firefox-locale-pl,62.0+build2-0ubuntu0.14.04.5,amd64,328370
firefox-locale-pt,62.0+build2-0ubuntu0.14.04.5,amd64,815822
firefox-locale-ro,62.0+build2-0ubuntu0.14.04.5,amd64,422220
firefox-locale-ru,62.0+build2-0ubuntu0.14.04.5,amd64,498766
firefox-locale-si,62.0+build2-0ubuntu0.14.04.5,amd64,447026
firefox-locale-sk,62.0+build2-0ubuntu0.14.04.5,amd64,446578
firefox-locale-sl,62.0+build2-0ubuntu0.14.04.5,amd64,426464
firefox-locale-sq,62.0+build2-0ubuntu0.14.04.5,amd64,434710
firefox-locale-sr,62.0+build2-0ubuntu0.14.04.5,amd64,457654
firefox-locale-sv,62.0+build2-0ubuntu0.14.04.5,amd64,424450
firefox-locale-sw,62.0+build2-0ubuntu0.14.04.5,amd64,17074
firefox-locale-ta,62.0+build2-0ubuntu0.14.04.5,amd64,484552
firefox-locale-te,62.0+build2-0ubuntu0.14.04.5,amd64,495284
firefox-locale-th,62.0+build2-0ubuntu0.14.04.5,amd64,465896
firefox-locale-tr,62.0+build2-0ubuntu0.14.04.5,amd64,435744
firefox-locale-uk,62.0+build2-0ubuntu0.14.04.5,amd64,491684
firefox-locale-ur,62.0+build2-0ubuntu0.14.04.5,amd64,471904
firefox-locale-uz,62.0+build2-0ubuntu0.14.04.5,amd64,417580
firefox-locale-vi,62.0+build2-0ubuntu0.14.04.5,amd64,437408
firefox-locale-xh,62.0+build2-0ubuntu0.14.04.5,amd64,420322
firefox-locale-zh-hans,62.0+build2-0ubuntu0.14.04.5,amd64,448824
firefox-locale-zh-hant,62.0+build2-0ubuntu0.14.04.5,amd64,450244
firefox-locale-zu,62.0+build2-0ubuntu0.14.04.5,amd64,17078
fontforge-common,20120731.b-5ubuntu0.1,all,26092
fonts-droid,1:4.3-3ubuntu1.2,all,3037750
fonts-opensymbol,2:102.6+LibO4.2.8-0ubuntu5.3,all,109882
fop-doc,1:1.1.dfsg-2ubuntu1.1,all,2520616
freeipmi-common,1.1.5-3ubuntu3.3,all,159742
gcc-4.8-aarch64-linux-gnu-base,4.8.4-2ubuntu1~14.04.1cross0.11.2,amd64,14864
gcc-4.8-arm-linux-gnueabihf-base,4.8.4-2ubuntu1~14.04.1cross0.11.2,amd64,15000
gcc-4.8-base,4.8.4-2ubuntu1~14.04.4,amd64,16704
gcc-4.8-powerpc-linux-gnu-base,4.8.4-2ubuntu1~14.04.1cross0.11.2,amd64,14670
gcc-4.8-powerpc64le-linux-gnu-base,4.8.4-2ubuntu1~14.04.1cross0.4.2,amd64,14458
gcc-4.9-base,4.9.3-0ubuntu4,amd64,15146
gdb-doc,7.7.1-0ubuntu5~14.04.3,all,3775834
gettext-doc,0.18.3.1-1ubuntu3,all,497680
ghostscript-doc,9.10~dfsg-0ubuntu10.13,all,5153772
gimp-data,2.8.10-0ubuntu1.2,all,3060394
gir1.2-javascriptcoregtk-1.0,2.4.10-0ubuntu0.14.04.1,amd64,12570
gir1.2-javascriptcoregtk-3.0,2.4.10-0ubuntu0.14.04.1,amd64,12586
git-doc,1:1.9.1-1ubuntu0.8,all,829118
git-man,1:1.9.1-1ubuntu0.8,all,700616
glib-networking-common,2.40.0-1ubuntu0.1,all,9254
gnome-control-center-data,1:3.6.3-0ubuntu56.1,all,1216476
gnome-control-center-dev,1:3.6.3-0ubuntu56.1,all,72684
gnome-control-center-shared-data,1:3.6.3-0ubuntu56.1,all,180626
gnome-desktop3-data,3.8.4-0ubuntu3.2,all,49846
gnome-session-common,3.9.90-0ubuntu12.1,all,42436
gnome-settings-daemon-schemas,3.8.6.1-0ubuntu11.2,all,44206
gnu-efi,3.0.8-0ubuntu1~14.04.1,amd64,117068
gnutls26-doc,2.12.23-12ubuntu2.8,all,2359130
graphviz-doc,2.36.0-0ubuntu3.2,all,3586446
grub-ipxe,1.0.0+git-20131111.c3d1e78-2ubuntu1.1,all,635228
hplip-doc,3.14.3-0ubuntu3.4,all,590952
hud-doc,14.04+14.04.20140604-0ubuntu1,all,9200
ibus-doc,1.5.5-1ubuntu3.2,all,243828
icedtea-netx-common,1.5.3-0ubuntu0.14.04.1,all,1120844
icu-doc,52.1-3ubuntu0.8,all,2584876
imagemagick-common,8:6.7.7.10-6ubuntu3.12,all,37738
imagemagick-doc,8:6.7.7.10-6ubuntu3.12,all,4220882
installation-guide-amd64,20100518ubuntu10.14.04.1,all,1215076
installation-guide-armhf,20100518ubuntu10.14.04.1,all,1063418
installation-guide-i386,20100518ubuntu10.14.04.1,all,1222876
installation-guide-powerpc,20100518ubuntu10.14.04.1,all,1118382
iproute2-doc,3.12.0-2ubuntu1.2,all,918024
