625,firefox-locale-ca,62.0+build2-0ubuntu0.14.04.5,428626
626,firefox-locale-cak,62.0+build2-0ubuntu0.14.04.5,446674
627,firefox-locale-cs,62.0+build2-0ubuntu0.14.04.5,436684
628,firefox-locale-csb,62.0+build2-0ubuntu0.14.04.5,17068
629,firefox-locale-cy,62.0+build2-0ubuntu0.14.04.5,427224
630,firefox-locale-da,62.0+build2-0ubuntu0.14.04.5,426104
631,firefox-locale-de,62.0+build2-0ubuntu0.14.04.5,435010
632,firefox-locale-el,62.0+build2-0ubuntu0.14.04.5,505838
633,firefox-locale-en,62.0+build2-0ubuntu0.14.04.5,941926
634,firefox-locale-eo,62.0+build2-0ubuntu0.14.04.5,424804
635,firefox-locale-es,62.0+build2-0ubuntu0.14.04.5,1551868
636,firefox-locale-et,62.0+build2-0ubuntu0.14.04.5,414226
637,firefox-locale-eu,62.0+build2-0ubuntu0.14.04.5,424102
638,firefox-locale-fa,62.0+build2-0ubuntu0.14.04.5,474166
639,firefox-locale-fi,62.0+build2-0ubuntu0.14.04.5,416684
640,firefox-locale-fr,62.0+build2-0ubuntu0.14.04.5,441452
641,firefox-locale-fy,62.0+build2-0ubuntu0.14.04.5,425828
642,firefox-locale-ga,62.0+build2-0ubuntu0.14.04.5,428988
643,firefox-locale-gd,62.0+build2-0ubuntu0.14.04.5,433052
644,firefox-locale-gl,62.0+build2-0ubuntu0.14.04.5,411282
645,firefox-locale-gn,62.0+build2-0ubuntu0.14.04.5,441624
646,firefox-locale-gu,62.0+build2-0ubuntu0.14.04.5,495178
647,firefox-locale-he,62.0+build2-0ubuntu0.14.04.5,443728
648,firefox-locale-hi,62.0+build2-0ubuntu0.14.04.5,492626
649,firefox-locale-hr,62.0+build2-0ubuntu0.14.04.5,418912
650,firefox-locale-hu,62.0+build2-0ubuntu0.14.04.5,445660
651,firefox-locale-hy,62.0+build2-0ubuntu0.14.04.5,475196
652,firefox-locale-ia,62.0+build2-0ubuntu0.14.04.5,419778
653,firefox-locale-id,62.0+build2-0ubuntu0.14.04.5,416280
654,firefox-locale-is,62.0+build2-0ubuntu0.14.04.5,418984
655,firefox-locale-it,62.0+build2-0ubuntu0.14.04.5,304194
656,firefox-locale-ja,62.0+build2-0ubuntu0.14.04.5,463388
657,firefox-locale-ka,62.0+build2-0ubuntu0.14.04.5,460598
658,firefox-locale-kab,62.0+build2-0ubuntu0.14.04.5,435562
659,firefox-locale-kk,62.0+build2-0ubuntu0.14.04.5,489922
660,firefox-locale-km,62.0+build2-0ubuntu0.14.04.5,480014
661,firefox-locale-kn,62.0+build2-0ubuntu0.14.04.5,487020
662,firefox-locale-ko,62.0+build2-0ubuntu0.14.04.5,457130
663,firefox-locale-ku,62.0+build2-0ubuntu0.14.04.5,17076
664,firefox-locale-lg,62.0+build2-0ubuntu0.14.04.5,17080
665,firefox-locale-lt,62.0+build2-0ubuntu0.14.04.5,446320
666,firefox-locale-lv,62.0+build2-0ubuntu0.14.04.5,434066
667,firefox-locale-mai,62.0+build2-0ubuntu0.14.04.5,453296
668,firefox-locale-mk,62.0+build2-0ubuntu0.14.04.5,416712
669,firefox-locale-ml,62.0+build2-0ubuntu0.14.04.5,497580
670,firefox-locale-mn,62.0+build2-0ubuntu0.14.04.5,17072
671,firefox-locale-mr,62.0+build2-0ubuntu0.14.04.5,488718
672,firefox-locale-ms,62.0+build2-0ubuntu0.14.04.5,418028
673,firefox-locale-my,62.0+build2-0ubuntu0.14.04.5,466474
674,firefox-locale-nb,62.0+build2-0ubuntu0.14.04.5,414298
675,firefox-locale-ne,62.0+build2-0ubuntu0.14.04.5,456810
676,firefox-locale-nl,62.0+build2-0ubuntu0.14.04.5,417492
677,firefox-locale-nn,62.0+build2-0ubuntu0.14.04.5,412588
678,firefox-locale-nso,62.0+build2-0ubuntu0.14.04.5,17064
